vendor,vendor_field,vendor_term,oncotree_code,oncotree_name,organ_system,ncit_code
fmi,disease_ontology,Bladder squamous cell carcinoma (SCC),BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Head and neck odontogenic carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Brain meningioma,CNS,CNS / Brain Tumor,CNS/Brain,NCIT:C3058
fmi,disease_ontology,Salivary gland adenocarcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Bone marrow myeloproliferative neoplasm (MPN),BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Bone giant cell tumor,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Unknown primary cancer (NOS),CUP,Cancer of Unknown Primary,Unknown Primary,NCIT:C3432
fmi,disease_ontology,Peritoneum serous carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Fallopian tube serous carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Ovary epithelial carcinoma (NOS),EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Stomach adenocarcinoma intestinal type,STAD,Gastric Adenocarcinoma,Esophagus/Stomach,NCIT:C4025
fmi,disease_ontology,Unknown primary neuroendocrine tumor (NET),NET,Neuroendocrine Tumor,Endocrine,NCIT:C3262
fmi,disease_ontology,Adrenal gland cortical carcinoma,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Skin Merkel cell carcinoma,MCC,Merkel Cell Carcinoma,Skin,NCIT:C3802
fmi,disease_ontology,Skin adnexal carcinoma,SKIN_OTHER,Other Skin Malignancy,Skin,NCIT:C3224
fmi,disease_ontology,Thyroid follicular carcinoma,THCA,Thyroid Carcinoma,Thyroid,NCIT:C3995
fmi,disease_ontology,Soft tissue myxofibrosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Placenta trophoblastic tumor,GTD,Gestational Trophoblastic Disease,Female Reproductive,NCIT:C3334
fmi,disease_ontology,Small intestine neuroendocrine tumor (NET),SMC,Small Bowel Carcinoma,Bowel,NCIT:C3384
fmi,disease_ontology,Testis germ cell tumor (mixed),TESTIS,Testicular Cancer,Male Reproductive,NCIT:C3400
fmi,disease_ontology,Testis cancer (NOS),TESTIS,Testicular Cancer,Male Reproductive,NCIT:C3400
fmi,disease_ontology,Small intestine adenocarcinoma,SMC,Small Bowel Carcinoma,Bowel,NCIT:C3384
fmi,disease_ontology,Prostate ductal adenocarcinoma,PRAD,Prostate Adenocarcinoma,Prostate,NCIT:C2919
fmi,disease_ontology,Gallbladder adenocarcinoma,CHOL,Cholangiocarcinoma,Biliary Tract,NCIT:C4436
fmi,disease_ontology,Liver cholangiocarcinoma,CHOL,Cholangiocarcinoma,Biliary Tract,NCIT:C4436
fmi,disease_ontology,Uterus sarcoma (NOS),UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Breast invasive lobular carcinoma (ILC),BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Colon carcinoid tumor,COAD,Colon Adenocarcinoma,Bowel,NCIT:C4349
fmi,disease_ontology,Ampullary adenocarcinoma,SMC,Small Bowel Carcinoma,Bowel,NCIT:C3384
fmi,disease_ontology,Nasopharynx and paranasal sinuses squamous cell carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Ovary endometrioid adenocarcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Salivary gland adenoid cystic carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Soft tissue epithelioid sarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Nasopharynx and paranasal sinuses esthesioneuroblastoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Brain choroid plexus tumor,CNS,CNS / Brain Tumor,CNS/Brain,NCIT:C3058
fmi,disease_ontology,Soft tissue round cell tumor (NOS),SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Bone marrow leukemia B cell acute (B-ALL),BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Bile duct adenocarcinoma,CHOL,Cholangiocarcinoma,Biliary Tract,NCIT:C4436
fmi,disease_ontology,Thymus carcinoma (NOS),THYM,Thymic Carcinoma,Thymus,NCIT:C7574
fmi,disease_ontology,Breast metaplastic carcinoma,BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Prostate undifferentiated carcinoma,PRAD,Prostate Adenocarcinoma,Prostate,NCIT:C2919
fmi,disease_ontology,Skin basal cell carcinoma,BCC,Basal Cell Carcinoma,Skin,NCIT:C2921
fmi,disease_ontology,Ovary granulosa cell tumor,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Unknown primary mesothelioma,MESO,Mesothelioma,Pleura,NCIT:C3230
fmi,disease_ontology,Kidney cancer (NOS),RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Thyroid cancer (NOS),THCA,Thyroid Carcinoma,Thyroid,NCIT:C3995
fmi,disease_ontology,Small intestine GIST,SMC,Small Bowel Carcinoma,Bowel,NCIT:C3384
fmi,disease_ontology,Brain astrocytoma,CNS,CNS / Brain Tumor,CNS/Brain,NCIT:C3058
fmi,disease_ontology,Bile duct extrahepatic cholangiocarcinoma,CHOL,Cholangiocarcinoma,Biliary Tract,NCIT:C4436
fmi,disease_ontology,Salivary gland acinic cell tumor,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Brain primitive neuroectoderm tumor (PNET),NET,Neuroendocrine Tumor,Endocrine,NCIT:C3262
fmi,disease_ontology,Soft tissue fibromatosis,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Prostate cancer (NOS),PRAD,Prostate Adenocarcinoma,Prostate,NCIT:C2919
fmi,disease_ontology,Breast cancer (NOS),BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Brain glioblastoma (GBM),CNS,CNS / Brain Tumor,CNS/Brain,NCIT:C3058
fmi,disease_ontology,Uterus endometrial adenocarcinoma papillary serous,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Gastroesophageal junction adenocarcinoma,ESCA,Esophageal Carcinoma,Esophagus/Stomach,NCIT:C4026
fmi,disease_ontology,Liver hepatocellular carcinoma (FLO),HCC,Hepatocellular Carcinoma,Liver,NCIT:C3099
fmi,disease_ontology,Head and neck adenoid cystic carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Uterus endometrial adenocarcinoma (NOS),UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Ovary clear cell carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Skin squamous cell carcinoma (SCC),CSCC,Cutaneous Squamous Cell Carcinoma,Skin,NCIT:C3801
fmi,disease_ontology,Liver hepatocellular carcinoma (HCC),HCC,Hepatocellular Carcinoma,Liver,NCIT:C3099
fmi,disease_ontology,Uterus endometrial adenocarcinoma mixed histology,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Testis germ cell tumor (seminoma),TESTIS,Testicular Cancer,Male Reproductive,NCIT:C3400
fmi,disease_ontology,Thyroid papillary carcinoma,THCA,Thyroid Carcinoma,Thyroid,NCIT:C3995
fmi,disease_ontology,CNS tumor (NOS),CNS,CNS / Brain Tumor,CNS/Brain,NCIT:C3058
fmi,disease_ontology,Lung atypical carcinoid,NET,Neuroendocrine Tumor,Endocrine,NCIT:C3262
fmi,disease_ontology,Parathyroid carcinoma,THCA,Thyroid Carcinoma,Thyroid,NCIT:C3995
fmi,disease_ontology,Kidney sarcomatoid carcinoma,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Vulva adenocarcinoma,VULVA,Vulvar Carcinoma,Vulva,NCIT:C9312
fmi,disease_ontology,Head and neck mucoepidermoid carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Salivary gland mucoepidermoid carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Bone marrow multiple myeloma,BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Lung typical carcinoid,NET,Neuroendocrine Tumor,Endocrine,NCIT:C3262
fmi,disease_ontology,Ovary serous carcinoma,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Soft tissue synovial sarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Rectum adenocarcinoma (CRC),READ,Rectal Adenocarcinoma,Bowel,NCIT:C9385
fmi,disease_ontology,Soft tissue sarcoma (NOS),SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Kidney renal cell carcinoma (NOS),RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Skin dermatofibrosarcoma,SKIN_OTHER,Other Skin Malignancy,Skin,NCIT:C3224
fmi,disease_ontology,Kidney clear cell carcinoma,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Testis mesothelioma,MESO,Mesothelioma,Pleura,NCIT:C3230
fmi,disease_ontology,Ovary carcinoma mixed histology,EOC,Ovarian Epithelial Carcinoma,Ovary/Fallopian Tube,NCIT:C7558
fmi,disease_ontology,Pancreas intraductal papillary mucinous tumor (IPMT),PAAD,Pancreatic Adenocarcinoma,Pancreas,NCIT:C4022
fmi,disease_ontology,Adrenal gland pheochromocytoma,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Breast phyllodes tumor,BRCA,Breast Cancer,Breast,NCIT:C4872
fmi,disease_ontology,Soft tissue giant cell tumor,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Bladder carcinoma (NOS),BLCA,Bladder Urothelial Carcinoma,Bladder/Urinary,NCIT:C4908
fmi,disease_ontology,Lung small cell undifferentiated carcinoma,SCLC,Small Cell Lung Cancer,Lung,NCIT:C4917
fmi,disease_ontology,Lung squamous cell carcinoma (SCC),NSCLC,Non-Small Cell Lung Cancer,Lung,NCIT:C2926
fmi,disease_ontology,Cervix neuroendocrine carcinoma,CESC,Cervical Cancer,Cervix,NCIT:C9311
fmi,disease_ontology,Diffuse large B-cell lymphoma (NOS),HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Bone osteosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Uterus endometrial stromal sarcoma,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Nasopharynx and paranasal sinuses adenocarcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Kidney Wilms tumor,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Vagina adenocarcinoma,VAGINA,Vaginal Carcinoma,Female Reproductive,NCIT:C3444
fmi,disease_ontology,Brain oligodendroglioma,CNS,CNS / Brain Tumor,CNS/Brain,NCIT:C3058
fmi,disease_ontology,Liver hemangioendothelioma,HCC,Hepatocellular Carcinoma,Liver,NCIT:C3099
fmi,disease_ontology,Cervix squamous cell carcinoma (SCC),CESC,Cervical Cancer,Cervix,NCIT:C9311
fmi,disease_ontology,Soft tissue sarcoma undifferentiated,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Duodenum adenocarcinoma,SMC,Small Bowel Carcinoma,Bowel,NCIT:C3384
fmi,disease_ontology,Eye intraocular melanoma,UM,Uveal Melanoma,Eye,NCIT:C3804
fmi,disease_ontology,Lung adenocarcinoma,NSCLC,Non-Small Cell Lung Cancer,Lung,NCIT:C2926
fmi,disease_ontology,Soft tissue osteosarcoma (extraskeletal),SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Uterus endometrial adenocarcinoma clear cell,UCEC,Endometrial Carcinoma,Uterus,NCIT:C4000
fmi,disease_ontology,Lymph node lymphoma follicular lymphoma,HEME,Hematologic Malignancy,Blood/Bone Marrow,NCIT:C3161
fmi,disease_ontology,Unknown primary leiomyosarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Soft tissue clear cell sarcoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Anus squamous cell carcinoma,ANAL,Anal Carcinoma,Bowel,NCIT:C3008
fmi,disease_ontology,Prostate sarcoma (NOS),PRAD,Prostate Adenocarcinoma,Prostate,NCIT:C2919
fmi,disease_ontology,Kidney renal papillary carcinoma,RCC,Renal Cell Carcinoma,Kidney,NCIT:C9386
fmi,disease_ontology,Unknown primary sarcoma (NOS),SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,CNS sarcoma (NOS),SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
fmi,disease_ontology,Appendix cancer (NOS),APPD,Appendiceal Carcinoma,Bowel,NCIT:C3011
fmi,disease_ontology,Head and neck myoepithelial carcinoma,HNSC,Head and Neck Carcinoma,Head and Neck,NCIT:C3088
fmi,disease_ontology,Mediastinum germ cell tumor,GCT,Germ Cell Tumor,Other,NCIT:C3052
fmi,disease_ontology,Vulva cancer (NOS),VULVA,Vulvar Carcinoma,Vulva,NCIT:C9312
fmi,disease_ontology,Skin sarcoma (NOS),SKIN_OTHER,Other Skin Malignancy,Skin,NCIT:C3224
fmi,disease_ontology,Bone marrow myeloproliferative disorder (MPD),BONE,Bone Malignancy,Bone,NCIT:C9293
fmi,disease_ontology,Lung sarcomatoid carcinoma,SARC,Soft Tissue Sarcoma,Soft Tissue,NCIT:C9118
